age,Sr87_86Sr,CI_plus,CI_minus
0.00,0.709175,0.709176,0.709174
0.05,0.709174,0.709176,0.709173
0.10,0.709174,0.709175,0.709172
0.15,0.709172,0.709174,0.709170
0.20,0.709170,0.709171,0.709168
0.25,0.709167,0.709169,0.709166
0.30,0.709165,0.709167,0.709164
0.35,0.709164,0.709165,0.709162
0.40,0.709162,0.709164,0.709161
0.45,0.709161,0.709162,0.709159
0.50,0.709159,0.709160,0.709158
0.55,0.709157,0.709159,0.709156
0.60,0.709155,0.709157,0.709154
0.65,0.709153,0.709155,0.709152
0.70,0.709151,0.709153,0.709150
0.75,0.709149,0.709151,0.709148
0.80,0.709147,0.709149,0.709146
0.85,0.709145,0.709146,0.709144
0.90,0.709143,0.709144,0.709141
0.95,0.709140,0.709141,0.709139
1.00,0.709137,0.709139,0.709136
1.05,0.709135,0.709136,0.709133
1.10,0.709132,0.709133,0.709130
1.15,0.709128,0.709130,0.709127
1.20,0.709125,0.709127,0.709124
1.25,0.709122,0.709124,0.709121
1.30,0.709119,0.709121,0.709118
1.35,0.709116,0.709118,0.709115
1.40,0.709114,0.709115,0.709112
1.45,0.709111,0.709113,0.709109
1.50,0.709108,0.709110,0.709107
1.55,0.709106,0.709107,0.709104
1.60,0.709103,0.709104,0.709102
1.65,0.709100,0.709102,0.709099
1.70,0.709098,0.709099,0.709096
1.75,0.709095,0.709097,0.709094
1.80,0.709093,0.709095,0.709092
1.85,0.709091,0.709092,0.709089
1.90,0.709089,0.709090,0.709087
1.95,0.709086,0.709088,0.709085
2.00,0.709084,0.709086,0.709083
2.05,0.709083,0.709084,0.709081
2.10,0.709081,0.709082,0.709079
2.15,0.709079,0.709081,0.709077
2.20,0.709078,0.709079,0.709076
2.25,0.709076,0.709078,0.709074
2.30,0.709075,0.709077,0.709073
2.35,0.709074,0.709075,0.709072
2.40,0.709072,0.709074,0.709071
2.45,0.709071,0.709073,0.709069
2.50,0.709070,0.709072,0.709068
2.55,0.709069,0.709071,0.709067
2.60,0.709068,0.709070,0.709066
2.65,0.709067,0.709069,0.709065
2.70,0.709066,0.709069,0.709064
2.75,0.709066,0.709068,0.709063
2.80,0.709065,0.709067,0.709063
2.85,0.709064,0.709067,0.709062
2.90,0.709064,0.709066,0.709061
2.95,0.709063,0.709065,0.709060
3.00,0.709062,0.709065,0.709060
3.05,0.709062,0.709065,0.709059
3.10,0.709061,0.709064,0.709058
3.15,0.709061,0.709064,0.709058
3.20,0.709060,0.709063,0.709057
3.25,0.709060,0.709063,0.709057
3.30,0.709059,0.709063,0.709056
3.35,0.709059,0.709062,0.709055
3.40,0.709058,0.709062,0.709055
3.45,0.709058,0.709062,0.709055
3.50,0.709058,0.709061,0.709054
3.55,0.709057,0.709061,0.709054
3.60,0.709057,0.709060,0.709053
3.65,0.709056,0.709060,0.709052
3.70,0.709056,0.709060,0.709052
3.75,0.709055,0.709059,0.709051
3.80,0.709055,0.709059,0.709051
3.85,0.709054,0.709058,0.709050
3.90,0.709054,0.709058,0.709050
3.95,0.709053,0.709058,0.709049
4.00,0.709053,0.709057,0.709049
4.05,0.709053,0.709057,0.709048
4.10,0.709052,0.709057,0.709048
4.15,0.709052,0.709056,0.709048
4.20,0.709052,0.709056,0.709047
4.25,0.709051,0.709056,0.709047
4.30,0.709051,0.709055,0.709046
4.35,0.709050,0.709055,0.709046
4.40,0.709049,0.709054,0.709045
4.45,0.709049,0.709053,0.709044
4.50,0.709048,0.709052,0.709043
4.55,0.709047,0.709051,0.709043
4.60,0.709046,0.709050,0.709042
4.65,0.709045,0.709049,0.709041
4.70,0.709044,0.709048,0.709040
4.75,0.709043,0.709047,0.709039
4.80,0.709042,0.709046,0.709037
4.85,0.709040,0.709044,0.709036
4.90,0.709039,0.709043,0.709035
4.95,0.709038,0.709042,0.709034
5.00,0.709036,0.709040,0.709032
5.05,0.709035,0.709039,0.709031
5.10,0.709033,0.709037,0.709029
5.15,0.709032,0.709036,0.709027
5.20,0.709030,0.709034,0.709026
5.25,0.709028,0.709033,0.709024
5.30,0.709027,0.709031,0.709023
5.35,0.709025,0.709029,0.709021
5.40,0.709023,0.709027,0.709019
5.45,0.709021,0.709025,0.709017
5.50,0.709019,0.709023,0.709014
5.55,0.709017,0.709021,0.709012
5.60,0.709014,0.709018,0.709010
5.65,0.709011,0.709016,0.709007
5.70,0.709009,0.709013,0.709005
5.75,0.709006,0.709010,0.709002
5.80,0.709003,0.709007,0.708999
5.85,0.709000,0.709005,0.708996
5.90,0.708998,0.709002,0.708993
5.95,0.708995,0.709000,0.708991
6.00,0.708992,0.708997,0.708988
6.05,0.708989,0.708994,0.708985
6.10,0.708986,0.708991,0.708982
6.15,0.708984,0.708988,0.708979
6.20,0.708981,0.708985,0.708977
6.25,0.708978,0.708982,0.708974
6.30,0.708976,0.708980,0.708972
6.35,0.708974,0.708978,0.708970
6.40,0.708972,0.708975,0.708968
6.45,0.708970,0.708973,0.708966
6.50,0.708968,0.708971,0.708964
6.55,0.708966,0.708969,0.708962
6.60,0.708964,0.708968,0.708960
6.65,0.708962,0.708966,0.708958
6.70,0.708960,0.708964,0.708956
6.75,0.708959,0.708962,0.708955
6.80,0.708957,0.708961,0.708953
6.85,0.708955,0.708959,0.708952
6.90,0.708954,0.708958,0.708950
6.95,0.708952,0.708956,0.708948
7.00,0.708951,0.708955,0.708947
7.05,0.708950,0.708953,0.708946
7.10,0.708948,0.708952,0.708944
7.15,0.708947,0.708951,0.708943
7.20,0.708946,0.708950,0.708942
7.25,0.708945,0.708949,0.708940
7.30,0.708943,0.708948,0.708939
7.35,0.708942,0.708947,0.708938
7.40,0.708941,0.708945,0.708937
7.45,0.708940,0.708944,0.708936
7.50,0.708939,0.708943,0.708935
7.55,0.708938,0.708943,0.708934
7.60,0.708937,0.708942,0.708933
7.65,0.708937,0.708941,0.708932
7.70,0.708936,0.708940,0.708931
7.75,0.708935,0.708939,0.708931
7.80,0.708934,0.708939,0.708930
7.85,0.708934,0.708938,0.708929
7.90,0.708933,0.708938,0.708929
7.95,0.708932,0.708937,0.708928
8.00,0.708932,0.708936,0.708927
8.05,0.708931,0.708936,0.708926
8.10,0.708930,0.708935,0.708925
8.15,0.708929,0.708934,0.708924
8.20,0.708928,0.708933,0.708924
8.25,0.708927,0.708932,0.708923
8.30,0.708926,0.708931,0.708922
8.35,0.708926,0.708930,0.708921
8.40,0.708925,0.708929,0.708920
8.45,0.708924,0.708928,0.708919
8.50,0.708923,0.708927,0.708919
8.55,0.708922,0.708927,0.708918
8.60,0.708921,0.708926,0.708917
8.65,0.708920,0.708925,0.708916
8.70,0.708920,0.708924,0.708915
8.75,0.708919,0.708923,0.708914
8.80,0.708918,0.708922,0.708913
8.85,0.708917,0.708921,0.708912
8.90,0.708916,0.708921,0.708911
8.95,0.708915,0.708920,0.708910
9.00,0.708914,0.708919,0.708909
9.05,0.708913,0.708917,0.708908
9.10,0.708911,0.708916,0.708907
9.15,0.708910,0.708915,0.708905
9.20,0.708909,0.708914,0.708904
9.25,0.708908,0.708912,0.708903
9.30,0.708906,0.708911,0.708902
9.35,0.708905,0.708909,0.708900
9.40,0.708903,0.708908,0.708899
9.45,0.708902,0.708906,0.708897
9.50,0.708900,0.708905,0.708896
9.55,0.708899,0.708903,0.708894
9.60,0.708897,0.708901,0.708893
9.65,0.708896,0.708900,0.708891
9.70,0.708894,0.708898,0.708890
9.75,0.708892,0.708897,0.708888
9.80,0.708891,0.708895,0.708887
9.85,0.708889,0.708894,0.708885
