Age(Ma),d18O
30.018,2.07
30.087,2.08
30.131,2.21
30.182,2.22
30.23,2.33
30.272,2.1
30.306,2.14
30.359,2.13
30.454,2.04
30.497,2.04
30.548,2.05
30.595,1.92
30.643,2.02
30.692,2.07
30.716,2.04
30.801,2.22
30.85,2.14
30.983,1.95
31.014,1.85
31.055,1.93
31.137,2.03
31.178,2.28
31.222,1.98
31.259,2.07
31.341,1.98
31.443,2.09
31.484,1.96
31.529,1.94
31.566,1.93
31.613,1.96
31.65,1.91
31.686,1.96
31.719,1.84
31.748,1.95
31.791,1.69
31.872,2.15
31.913,2.14
31.96,1.93
31.995,2
32.03,1.93
32.079,2.14
32.132,2.16
32.179,2
32.226,1.81
32.261,2.09
32.302,2.01
32.338,2.16
32.385,2.15
32.483,1.96
32.532,2
32.567,2.01
32.608,1.9
32.639,2.11
32.69,2.27
32.712,2.14
32.745,2.05
32.792,2.23
32.825,2.35
32.841,2.14
32.874,2.13
32.911,2.12
32.945,2.22
32.974,2.25
32.976,2.35
33.021,2.09
33.052,2.53
33.094,2.14
33.131,2.42
33.133,2.37
33.18,2.31
33.221,2.06
33.256,2.24
33.303,2.5
33.303,2.23
33.644,1.62
33.729,1.19
33.792,1.26
33.813,1.26
33.847,1.07
33.943,1.17
33.961,1.23
33.986,1.2
33.986,1.21
34.002,1.34
34.047,1.15
34.073,1.2
34.095,1.16
34.114,1.25
34.132,1.26
34.152,1.36
34.172,1.31
34.189,1.26
34.219,1.3
34.244,1.32
34.265,1.24
34.285,1.27
34.302,1.35
34.302,1.21
34.325,1.41
34.325,1.35
34.328,1.34
34.328,1.41
34.347,1.18
34.347,1.34
34.36,1.42
34.387,1.22
34.385,1.18
34.408,1.16
34.408,1.22
34.208,1.25
34.436,1.16
34.456,1.15
34.456,1.25
34.473,1.15
34.499,1.19
34.518,1.22
34.518,1.19
34.558,1.13
34.564,1.22
34.58,1.2
34.58,1.13
34.607,0.97
34.607,1.2
34.626,0.97
34.626,0.97
34.648,1
34.648,0.97
34.672,1.04
34.672,1
34.686,1
34.686,1.04
34.702,1.01
34.722,1.02
34.735,1
34.752,1.1
34.781,0.85
34.781,1.16
34.81,1.02
34.833,1.05
34.856,1.11
34.885,0.87
34.908,0.98
34.901,1
34.908,1.1
34.926,0.91
34.952,1.06
34.979,1.01
34.983,0.98
35.001,0.88
35.026,0.86
35.048,1.2
35.075,1.18
35.093,0.99
35.145,1.13
35.165,1.07
35.197,1.29
35.215,1.15
35.236,1.18
35.263,1.23
35.277,1.3
35.294,1.23
35.322,1.17
35.346,1.26
35.386,1.17
35.406,1.08
35.428,0.99
35.447,1.2
35.491,1.1
35.514,1.21
35.537,1.11
35.554,1.13
35.574,1.14
35.597,1.05
35.615,1.04
35.682,1.3
35.798,1.4
35.816,1.31
35.821,1.3
35.838,1.33
35.882,1.21
35.906,1.21
35.931,1.18
35.95,1.14
35.97,1.03
35.996,1.02
36.044,1.12
36.069,1.13
36.09,1.19
36.115,1.19
36.135,1.19
36.159,1.1
36.174,1.12
36.218,1.09
36.241,1.19
36.266,1.1
36.282,1.26
36.307,1.09
36.333,1.13
36.45,1.1
36.672,1.01
36.715,1.21
36.752,1.13
36.788,1.19
36.833,1.08
36.929,1.15
36.966,1.03
